Model,Accuracy,Precision,Recall,F1
Most Frequent Baseline (Dev),0.24166666666666667,0.06041666666666667,0.25,0.09731543624161074
Most Frequent Baseline (Test),0.25,0.0625,0.25,0.1
Naive Bayes (Dev),0.9070833333333334,0.906717408663952,0.9064825316761445,0.9063615673094145
Naive Bayes (Test),0.9023684210526316,0.9019147236091147,0.9023684210526316,0.9019396677468751
Logistic Regression (Dev),0.9194166666666667,0.919203133168149,0.918975614235197,0.9189118573514261
Logistic Regression (Test),0.9180263157894737,0.9177577356864279,0.9180263157894737,0.9178120002566916
